"ReefName","ReefID","Dataset","report_year","DHWYear","Era","Sector","depth","DISTURBANCE_TYPE","storm_name","description","tooltip","Pre_Cover_Pct","Post_Cover_Pct","Net_Change_Pct","Rel_Change_Pct","Growth_Adj_Mortality_Pct","Absolute_Loss_Pct","MaxDHW","prop_acropora","secc3m","winyear_mean","histmDHW6","mcur_90","winyear_sd","cloudp_90","yrsince6","In_Stage1_Zarr_Val_N262","In_MultiDecadal_Expansion_N465","In_Temporal_Era_Models","In_2024_Train_Pre2024","In_2024_Test_2024","In_Confirmed_Bleaching_Strict_N305"
"Peart Reef (17-024)","17-024","LTMP Benthic",2018,2017,"2016/2017","IN",9,"m",NA,"0+ bleaching, COTS, disease and Drupella on transects, COTS removal.  AO in 2018, Large decline HCC, COTS removal-6178",NA,41.4,11.2,-30.2,-69.5,69.5,30.2,9.52,39.5,15.84,27.29,0,0.22,1.74,0.69,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Broomfield Reef (23-048)","23-048","LTMP Benthic",2025,2024,"2024","CB",9,"m",NA,"Aerial bl 5 2024   DHW 11.6",NA,57.5,17.9,-39.6,-68.5,68.5,39.6,11.6,86.2,9.24,24.87,6.9,0.4,2,0.55,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Gannett Cay Reef (21-556)","21-556","LTMP Benthic",2021,2020,"2020/2022","SW",9,"m",NA,"DHW2020 6.8.",NA,23.3,10.1,-13.2,-68.4,68.4,13.2,6.8,34.7,15.32,25.04,0,0.41,1.89,0.52,35,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Humpy (Bur-ye-Bur-ye) Reef (23-016)","23-016","MMP Inshore",2025,2024,"2024","CB",2,"b",NA,"further decline as a result of bleaching in 2024",NA,23,7.9,-15.1,-67.4,67.4,15.1,12.47,70.8,11.07,24.32,9.74,0.2,2.71,0.54,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Daydream Reef (No 1) (20-035a)","20-035a","MMP Inshore",2018,2018,NA,"WH",2,NA,NA,NA,NA,0.6,0.5,-0.1,-66.9,66.9,0.1,0,0,14.27,26.41,6.9,0.29,1.88,0.63,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"North Direction Reef (14-143)","14-143","LTMP Benthic",2017,2016,"2016/2017","CL",9,"m","Nathan","Cyclone Nathan",NA,8.9,4.7,-4.1,-65.9,65.9,4.1,8.94,4.2,28.24,26.67,0,0.27,1.68,0.63,35,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Opal Reef (16-025)","16-025","LTMP Benthic",2017,2016,"2016/2017","CA",9,"b",NA,"bleaching mortality- HC and particularly SC, COTS removal-2188.  2015/16 summer bleaching, COTS removal-2188",NA,20,8.4,-11.7,-65.4,65.4,11.7,5.82,24.7,17.63,26.72,0,0.27,1.8,0.6,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Hastings Reef (16-057)","16-057","LTMP Benthic",2018,2017,"2016/2017","CA",9,"b",NA,"bleaching mortality- HC, COTS removal.  2016/17 summer bleaching, COTS removal 886",NA,25.8,9.4,-16.5,-65.2,65.2,16.5,10.25,47.1,14.46,27.53,0,0.23,1.53,0.74,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Forrester Reef (15-009)","15-009","Manta Tow",2025,2024,"2024","CL",9,"m","Jasper","Jasper",NA,40.2,12.9,-27.3,-64.8,64.8,27.3,4.09,63,9.69,26.9,7.63,0.26,1.86,0.78,7,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b)","23-004b","MMP Inshore",2024,2024,"2024","CB",2,"b",NA,"bleaching still evident at time of surveys",NA,48.4,17.8,-30.6,-64.1,64.1,30.6,12.41,98.3,9.36,24.39,9.4,0.18,2.68,0.52,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"No Name Reef (14-139)","14-139","LTMP Benthic",2017,2016,"2016/2017","CL",9,"m",NA,"Bleaching, storm damage.  Cyclone Nathan March 2015, 2015/16 summer bleaching",NA,20.6,10,-10.5,-63.9,63.9,10.5,11.36,18.8,12.16,26.8,0,0.34,1.59,0.59,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Martin Reef (14-123)","14-123","LTMP Benthic",2017,2016,"2016/2017","CL",9,"m","Nathan","Nathan and bleaching 2016 COTS removal-317",NA,9.3,4.8,-4.5,-63.8,63.8,4.5,7.87,1.2,10.67,26.54,0,0.22,1.83,0.66,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Horseshoe Reef (No 1) (22-104a)","22-104a","LTMP Benthic",2021,2020,"2020/2022","SW",9,NA,NA,NA,NA,5.9,5.6,-0.3,-63.1,63.1,0.3,6.61,2,16.49,25.03,0,0.35,1.87,0.51,35,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Moore Reef (16-071)","16-071","LTMP Benthic",2018,2017,"2016/2017","IN",9,"b",NA,"2016/17 summer bleaching, COTS removal.  0+ bleaching, low numbers disease and Drupella Decline in coral cover in the absence of COTS, COTS removal-7173",NA,28.8,11.9,-16.9,-59.1,59.1,16.9,10.7,32.8,22.1,27.46,0,0.26,1.54,0.72,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Mackay Reef (16-015)","16-015","Manta Tow",2025,2024,"2024","CA",9,NA,NA,NA,NA,42.5,16.5,-26,-59,59,26,3.52,66.5,11.08,27.01,9.13,0.25,1.84,0.75,7,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"Pelican Island Reef (23-017)","23-017","MMP Inshore",2024,2024,"2024","CB",2,"b",NA,"bleaching still evident at time of surveys",NA,6.8,4,-2.8,-59,59,2.8,13.26,13.4,7.57,24.32,10.48,0.15,2.84,0.55,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"No Name Reef (14-139)","14-139","Manta Tow",2017,2016,"2016/2017","CL",9,"m",NA,"Bleaching, storm damage",NA,15.1,9.8,-5.4,-58.8,58.8,5.4,11.36,18.8,12.16,26.8,0,0.34,1.59,0.59,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Turner Reef (21-562)","21-562","LTMP Benthic",2021,2020,"2020/2022","SW",9,NA,NA,NA,NA,5.4,5.7,0.2,-58.8,58.8,0,6,17.7,10.94,25.18,0,0.35,1.82,0.51,35,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Humpy (Bur-ye-Bur-ye) Reef (23-016)","23-016","MMP Inshore",2025,2024,"2024","CB",5,"b",NA,"further decline as a result of bleaching in 2024",NA,13.6,6.2,-7.4,-58.7,58.7,7.4,12.47,76,11.07,24.32,9.74,0.2,2.71,0.54,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Thetford Reef (16-068)","16-068","LTMP Benthic",2018,2017,"2016/2017","CA",9,"b",NA,"declines in HC and SC .  2016/17 bleaching, COTS removal- 36",NA,29.2,12.3,-16.9,-58.5,58.5,16.9,10.88,47.8,23.01,27.47,0,0.25,1.55,0.72,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Double Cone Reef (20-024)","20-024","MMP Inshore",2021,2021,NA,"WH",2,NA,NA,NA,NA,1.6,1.5,-0.2,-58.5,58.5,0.2,0,0,14.27,26.41,6.9,0.29,1.88,0.63,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Snapper Reef (16-006)","16-006","MMP Inshore",2017,2017,"2016/2017","CA",2,"b",NA,NA,NA,4.7,2.9,-1.9,-58.4,58.4,1.9,11.65,17.5,6.25,27.29,0,0.19,1.89,0.84,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Tern Reef (20-309)","20-309","LTMP Benthic",2024,2023,NA,"PO",9,"b",NA,"DHW 7.76 11% bl",NA,24.9,11.7,-13.2,-57.6,57.6,13.2,0.81,18.5,14.27,26.41,6.9,0.29,1.88,0.63,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Broomfield Reef (23-048)","23-048","Manta Tow",2025,2024,"2024","CB",9,"m",NA,"Aerial bl 5 2024   DHW 11.6",NA,58.1,24.9,-33.2,-56.6,56.6,33.2,11.6,86.2,9.24,24.87,6.9,0.4,2,0.55,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Agincourt Reefs (No 1) (15-099c)","15-099c","LTMP Benthic",2017,2016,"2016/2017","CA",9,"b",NA,"bleaching mortality-decline in HC and SC.  2015/16 bleaching event, COTS removal dives- 0 COTS",NA,26,12.2,-13.8,-56.4,56.4,13.8,6.89,30.5,15.15,26.74,0,0.29,1.74,0.61,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Daydream Reef (No 1) (20-035a)","20-035a","MMP Inshore",2018,2018,NA,"WH",5,NA,NA,NA,NA,4.1,3.2,-1,-56.3,56.3,1,0,3.2,14.27,26.41,6.9,0.29,1.88,0.63,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Linnet Reef (14-126)","14-126","LTMP Benthic",2017,2016,"2016/2017","CL",9,"m","Nathan","0+ bleaching in sector.  Cyclone Ita April 2014, Cyclone Nathan March 2015, COTS removal in 2014 - 261",NA,4.6,3.4,-1.2,-56.2,56.2,1.2,7.76,0,10.25,26.52,0,0.22,1.88,0.67,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Havannah Reef (18-065)","18-065","LTMP Benthic",2021,2020,"2020/2022","TO",9,"b",NA,"bleaching at time of previous survey",NA,18.4,11.1,-7.2,-55.5,55.5,7.2,8.18,68.8,14.27,25.71,8.71,0.13,2.56,0.78,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Barren Island Reef (22-009)","22-009","MMP Inshore",2024,2024,"2024","CB",2,"b",NA,"bleaching still evident at time of surveys",NA,59.2,26,-33.2,-55.3,55.3,33.2,11.06,84.3,9.56,24.88,10,0.62,2.62,0.57,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Feather Reef (17-034)","17-034","Manta Tow",2018,2017,"2016/2017","IN",9,"b",NA,"2015/16 and 2016/17 summer Bleaching",NA,21.8,10.7,-11.1,-55,55,11.1,8.91,73,14.2,27.27,0,0.25,1.76,0.71,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Middle (Ba-la-ba) Island Reef (23-010)","23-010","MMP Inshore",2024,2024,"2024","CB",2,"b",NA,"bleaching still evident at time of surveys",NA,19.4,9.4,-10,-54.7,54.7,10,12.23,76.6,8.07,24.34,9.54,0.13,2.72,0.59,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Hoskyn Islands Reef (23-080)","23-080","Manta Tow",2025,2024,"2024","CB",9,"b",NA,"DHW 11.48",NA,61.8,28,-33.9,-54.6,54.6,33.9,11.2,94.9,13.35,24.9,0,0.3,1.97,0.57,35,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Middle (Ba-la-ba) Island Reef (23-010)","23-010","MMP Inshore",2025,2024,"2024","CB",2,"b",NA,"further decline as a result of bleaching in 2024",NA,9.4,4.8,-4.6,-54.4,54.4,4.6,12.23,45.9,8.07,24.34,9.54,0.13,2.72,0.59,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Tobias Spit (17-009a)","17-009a","MMP Inshore",2024,2024,"2024","IN",2,"m",NA,"clear depth limit to level of mortality",NA,35.5,16,-19.5,-54.3,54.3,19.5,6.32,27.2,14.27,26.62,11.03,0.11,2.18,0.74,7,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"Hedley Reef (17-014)","17-014","Manta Tow",2018,2017,"2016/2017","IN",9,"b",NA,"0+ bleaching, disease, Drupella and low numbers of COTS, 2016/17 summer bleaching",NA,12.6,7.6,-5.1,-54.3,54.3,5.1,7.98,42.4,13.54,27.46,0,0.23,1.56,0.69,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Humpy (Bur-ye-Bur-ye) Reef (23-016)","23-016","MMP Inshore",2024,2024,"2024","CB",2,"b",NA,"bleaching still evident at time of surveys",NA,49.7,23,-26.7,-54.1,54.1,26.7,12.47,88.1,11.07,24.32,9.74,0.2,2.71,0.54,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Credlin Reefs (East) (20-287)","20-287","Manta Tow",2003,2002,"1998/2002","PO",9,"m",NA,"COTS, bleaching",NA,30.4,15.3,-15.1,-53.9,53.9,15.1,6.52,47.1,14.27,26.41,6.9,0.29,1.88,0.63,7,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"Lizard Island Reef (North West) (14-116a)","14-116a","LTMP Benthic",2017,2016,"2016/2017","CL",9,"m","Nathan","Nathan and bleaching 2016",NA,8.6,6.7,-1.9,-53.8,53.8,1.9,8.63,0.9,26.71,26.61,0,0.25,1.74,0.85,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Lady Musgrave Reef (23-082a)","23-082a","LTMP Benthic",2025,2024,"2024","CB",9,"m",NA,"b s 34% decline hc abs 55% decline rel",NA,63.3,29,-34.4,-53.3,53.3,34.4,11.12,94.7,30.28,24.91,6.29,0.34,1.99,0.57,22,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"Yonge Reef (14-138)","14-138","Manta Tow",2017,2016,"2016/2017","CL",9,"m",NA,"bleaching mortality, storm dmage",NA,14.7,11.8,-2.9,-53.2,53.2,2.9,11.49,23.4,18.47,26.82,0,0.33,1.58,0.6,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Humpy (Bur-ye-Bur-ye) Reef (23-016)","23-016","MMP Inshore",2024,2024,"2024","CB",5,"b",NA,"bleaching still evident at time of surveys",NA,27.5,13.6,-13.9,-52.8,52.8,13.9,12.47,90.1,11.07,24.32,9.74,0.2,2.71,0.54,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Grub Reef (18-077)","18-077","LTMP Benthic",2018,2017,"2016/2017","TO",9,"b",NA,"DHW 2017>4",NA,11.6,7.5,-4,-52.4,52.4,4,5.55,10.4,16.67,27.17,6.87,0.31,1.61,0.59,30,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"St Crispin Reef (16-019)","16-019","Manta Tow",2017,2016,"2016/2017","CA",9,"b",NA,"bleaching mortality- HC and particularly SC",NA,19.9,10.5,-9.4,-52.3,52.3,9.4,5.82,26.9,25.65,26.7,0,0.28,1.79,0.61,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Eyrie Reef (14-118)","14-118","Manta Tow",2025,2024,"2024","CL",9,"b",NA,"DHW 6.27 to 6.32",NA,32,15.2,-16.8,-52.3,52.3,16.8,6.27,67.1,8.49,26.93,9.4,0.25,1.85,0.81,7,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"U/N Reef (19-131a)","19-131a","Manta Tow",2003,2002,"1998/2002","WH",9,"b",NA,"Bleaching summer of 2001/2002 Feb? surveyed dec 02",NA,18.1,10.6,-7.5,-52.3,52.3,7.5,2.62,12.5,14.27,26.41,6.9,0.29,1.88,0.63,7,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"Wreck Island Reef (23-051)","23-051","LTMP Benthic",2025,2024,"2024","CB",9,"b",NA,"big hc decline",NA,67,30.5,-36.5,-52.2,52.2,36.5,11.64,98,9.46,24.9,6.48,0.39,1.98,0.55,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Lizard Island Reef (North West) (14-116a)","14-116a","Manta Tow",2017,2016,"2016/2017","CL",9,"m",NA,"bleaching in sector, COTS, storm damage",NA,7.9,6.7,-1.2,-51.3,51.3,1.2,8.63,0.9,26.71,26.61,0,0.25,1.74,0.85,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Pelorus (North Palm or Yanooa) Reef (18-048)","18-048","MMP Inshore",2018,2018,NA,"TO",2,NA,NA,NA,NA,7.3,5.2,-2.1,-51.2,51.2,2.1,0,11.8,14.27,26.41,6.9,0.29,1.88,0.63,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Hastings Reef (16-057)","16-057","Manta Tow",2018,2017,"2016/2017","CA",9,"b",NA,"bleaching mortality- HC, COTS removal",NA,17.7,9.9,-7.8,-51.2,51.2,7.8,10.25,47.1,14.46,27.53,0,0.23,1.53,0.74,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"One Tree Island Reef (23-055a)","23-055a","Manta Tow",2025,2024,"2024","CB",9,"m",NA,"Aerial bl 4 2024  DHW 11.81",NA,60.6,29.7,-31,-50.7,50.7,31,11.53,91.7,10.01,24.93,0,0.37,1.96,0.54,35,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Ribbon No 6 Reef (15-032)","15-032","Manta Tow",2017,2016,"2016/2017","CL",9,"m",NA,"Storm damage, bleaching",NA,23.9,14,-9.9,-50.6,50.6,9.9,8.46,34.1,20.03,26.79,0,0.3,1.64,0.58,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Carter Reef (14-137)","14-137","Manta Tow",2017,2016,"2016/2017","CL",9,"m",NA,"0+ survey severe bleaching in sector 2016 summer, also severe storm damage",NA,14,10.7,-3.4,-50.6,50.6,3.4,11.32,25.7,15.72,26.81,0,0.37,1.59,0.6,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Lizard Island Reef (North West) (14-116a)","14-116a","Manta Tow",2025,2024,"2024","CL",9,"b",NA,"DHW 6.27  aerial bl 4",NA,21.3,11.5,-9.8,-50.2,50.2,9.8,6.27,14.9,14.71,27.05,8.99,0.18,1.73,0.85,7,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Opal Reef (16-025)","16-025","LTMP Benthic",2021,2020,"2020/2022","CA",9,NA,NA,NA,NA,3.5,5,1.5,-49.1,49.1,0,7.4,3.1,17.35,26.39,9.45,0.25,1.92,0.82,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Moore Reef (16-071)","16-071","Manta Tow",2018,2017,"2016/2017","IN",9,"b",NA,"2016/17 summer bleaching, COTS removal",NA,17.5,11.2,-6.3,-48.9,48.9,6.3,10.7,32.8,22.1,27.46,0,0.26,1.54,0.72,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Fitzroy Island Reef (No 1) (16-054a)","16-054a","MMP Inshore",2024,2024,"2024","CA",2,"b",NA,"partial bleaching during bleaching surveys Feb24",NA,46.1,21.9,-24.2,-48.4,48.4,24.2,7.82,59,11.23,26.73,10.69,0.18,2.07,0.74,7,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"U/N Reef (13-121)","13-121","Manta Tow",2017,2016,"2016/2017","PB",9,"b",NA,"Bleaching",NA,22.1,13.4,-8.7,-47.7,47.7,8.7,9.98,53.6,10.59,26.72,0,0.28,1.54,0.7,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"U/N Reef (20-104)","20-104","Manta Tow",2023,2022,"2020/2022","WH",9,"b",NA,"DHW 4 in 2022",NA,26.8,16.2,-10.6,-47.5,47.5,10.6,4.07,39.3,12.02,25.99,7.43,0.47,2,0.59,35,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"Roxburgh Reef (18-042)","18-042","LTMP Benthic",2018,2017,"2016/2017","TO",9,"b",NA,"mortality on sites, but not manta tow for 2016/17 bleaching event.  low disease and Drupella on transects, 8% decline HCC",NA,18.6,10.4,-8.2,-47.3,47.3,8.2,7.54,30.9,22.8,27.2,0,0.29,1.63,0.63,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Arlington Reef (16-064)","16-064","LTMP Benthic",2018,2017,"2016/2017","CA",9,"b",NA,"2016/17 summer bleaching.  Decline in HC and SC coral cover, COTS removal-1411",NA,20.5,10.9,-9.6,-46.9,46.9,9.6,10.9,32.8,19.93,27.49,0,0.22,1.57,0.73,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"MacGillivray Reef (14-114)","14-114","Manta Tow",2017,2016,"2016/2017","CL",9,"m",NA,"bleaching in sector. COTS and cyclone",NA,8.5,7.3,-1.2,-46.8,46.8,1.2,8.61,1.2,20.62,26.64,0,0.32,1.7,0.65,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Pelorus (North Palm or Yanooa) Reef (18-048)","18-048","MMP Inshore",2017,2017,"2016/2017","TO",2,"b",NA,NA,NA,9.7,7.3,-2.4,-45.4,45.4,2.4,9.28,33.9,14.27,26.88,0,0.22,2.16,0.66,35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Double Cone Reef (20-024)","20-024","MMP Inshore",2023,2023,NA,"WH",2,NA,NA,NA,NA,1.3,1.6,0.3,-45.4,45.4,0,1.07,10.4,14.27,26.41,6.9,0.29,1.88,0.63,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"U/N Reef (22-084)","22-084","Manta Tow",2025,2024,"2024","SW",9,NA,NA,NA,NA,15,10.6,-4.5,-45.4,45.4,4.5,8.47,8.6,17.27,25.46,6.8,0.39,1.85,0.55,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"U/N Reef (20-348)","20-348","LTMP Benthic",2018,2017,"2016/2017","PO",9,NA,NA,NA,NA,9.6,8.8,-0.8,-45.1,45.1,0.8,2.46,3.2,10.88,26.13,6.26,0.4,1.69,0.59,30,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Hastings Reef (16-057)","16-057","Manta Tow",2025,2024,"2024","CA",9,"m","Jasper","Jasper",NA,26.8,15.3,-11.5,-45,45,11.5,7.62,18,13.6,27.19,7.59,0.23,1.62,0.69,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"Middle (Ba-la-ba) Island Reef (23-010)","23-010","MMP Inshore",2024,2024,"2024","CB",5,"b",NA,"bleaching still evident at time of surveys",NA,21,12.3,-8.6,-45,45,8.6,12.23,48.1,8.07,24.34,9.54,0.13,2.72,0.59,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
